SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL
Gujarat Region,2000,0,0.1,0,0,36.1,62.9,301.1,133,13.5,0.2,0,3.6,550.6
Gujarat Region,2001,6.1,0,0,0.2,2.1,216.9,320,256.8,17.8,28.9,0.2,0,849
Gujarat Region,2002,4.1,0,0.1,0,0,234.2,45.8,238.5,113.7,0.6,0.1,0.1,637.2
Gujarat Region,2003,0,6.1,0.1,0,0,209.3,518.7,314.6,109.5,1.9,0,0,1160.3
Gujarat Region,2004,0,0,0,0,4.4,135.5,238.2,553.7,51.8,22.2,0,0,1005.8
Gujarat Region,2005,0,0,0,0,0.3,367.3,378.7,229.4,339.2,1.4,0,0,1316.4
Gujarat Region,2006,0,0,0.8,0,0.2,123.5,576,624.8,140.6,9.2,2.9,0,1478
Gujarat Region,2007,0.1,0.4,0,0,0.3,94,567.8,345.6,169.4,0,1.4,0,1178.9
Gujarat Region,2008,0,0,0,3.1,0.1,58.2,261.9,369.5,204.3,11.6,0.1,2.3,911.1
Gujarat Region,2009,0,0,0.3,0,0,17,390.3,143.5,54.9,27.4,8.1,0,641.6
Gujarat Region,2010,0.2,0,0,0,0,59.3,328.2,431,216.6,12.2,41,0.2,1088.7
Gujarat Region,2011,0,0.2,0,0,0,16.3,259.2,451.7,162.5,0.4,0,0,890.5
Gujarat Region,2012,0.1,0,0,0,0,34.4,178.2,230.3,263.8,7.1,0,0,714
Gujarat Region,2013,0,0.9,0.1,4.6,0,155.7,405.4,211.1,287.3,53.2,0.1,0,1118.6
Gujarat Region,2014,5.7,0.1,0.2,1,1.3,11.6,307.5,138.6,235.1,3.3,1.3,0,705.7
Gujarat Region,2015,1.8,0,6.1,5.5,0.9,120.7,354.7,37.4,93.4,2.2,0.3,0,622.9
Gujarat Region,2016,0,0,0.6,0,0.4,31.8,255.8,303.9,105.3,66.9,0,0,764.9
Gujarat Region,2017,0,0,0,0,0.2,137.7,613.1,179.7,67.2,15.5,0,11,1024.4
Saurashtra & Kutch,1961,1,7,4.8,0,2,125.9,294,127.2,178.8,12.1,0.2,0,752.9
